omega = 1.00	omega = 0.96	omega = 0.92	omega = 0.88
0.375939776309070	NaN	0.578546791224390	0.607700246046640
1.53655344379394	NaN	NaN	NaN
2.41701922626981	NaN	NaN	NaN
7.29544594538504	0.0821393560809030	2.34128120052828	NaN
2.65950620633489	0.607907554029481	NaN	1.17324317190629
2.82338303150268	0.794288321300361	0.487796762974859	NaN
0.0221461909841813	NaN	NaN	NaN
NaN	2.35900014151466	NaN	NaN
9.55452744327223	NaN	NaN	1.16611597433873
0.348641328974950	2.25347517169265	NaN	NaN
0.503559334565973	NaN	NaN	0.103448034243411
1.55673647572910	0.579900735913980	NaN	NaN
4.71626010744919	0.326131186112309	NaN	0.879255149593807
NaN	0.553103821951775	0.491052736524743	NaN
0.921367423092622	0.489000340000442	0.597697430706434	0.106781041216082
0.882464518141559	NaN	0.563951623362753	NaN
1.16943223950578	1.32178042074118	NaN	1.10762704141511
0.0617705086807884	NaN	1.38381372877893	NaN
1.66612129778276	0.686375990641353	NaN	NaN
1.01620475715491	NaN	1.19633038860991	NaN
1.24614072876999	NaN	0.789670367050257	0.558411707553493
1.58823787267964	1.20947898540822	NaN	NaN
NaN	NaN	0.152309851296404	1.62902260301593
NaN	NaN	3.52376147652102	NaN
0.241099847125690	1.42594986247584	1.62789591523301	3.05078824750624
NaN	NaN	1.05235551563347	0.908825572297514
8.82190131279429	2.98524096317730	0.327639744793392	NaN
NaN	NaN	0.800208101907361	0.590723801434478
9.27645593035788	NaN	NaN	NaN
1.39873495817980	NaN	NaN	0.413185693048913
9.62725285598863	NaN	0.714089194220989	NaN
NaN	0.223987143328595	1.13293039531090	2.30480556105740
8.56872729987115	0.804510438014473	0.190332897351320	0.471861070421842
8.30583145550849	2.08914143867636	2.79542584300419	NaN
NaN	NaN	NaN	NaN
0.666023201784098	NaN	NaN	1.10672210734542
0.274958431409510	NaN	0.373927735775556	NaN
4.99829268930921	0.416817498985610	NaN	1.41798110120655
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
1.46043531783661	0.937121368213967	NaN	1.17897088662002
0.811185310642670	NaN	NaN	NaN
0.434564232683115	2.98625796373641	0.144785262199778	0.899333452411122
1.12857729495522	4.68578667987979	NaN	NaN
3.67918196116510	0.561639765113997	0.371948009170284	NaN
0.591850720295600	0.509594446877069	NaN	NaN
0.0300343434864768	0.226131952684542	NaN	NaN
0.124105063904418	NaN	NaN	0.0477257455325763
1.41165696463649	1.59477460440227	NaN	1.88651860334718
9.40658865745066	NaN	1.21469568864647	0.508088035631792
NaN	0.169536234674597	0.153091000918651	1.79462171786683
NaN	NaN	1.65435915985720	NaN
